appid,rank,url
2933620,1,https://store.steampowered.com/app/2933620/Call_of_Duty_Black_Ops_6?snr=1_7001_topselling__7003
730,2,https://store.steampowered.com/app/730/CounterStrike_2?snr=1_7001_topselling__7003
990080,3,https://store.steampowered.com/app/990080/Hogwarts_Legacy?snr=1_7001_topselling__7003
427520,4,https://store.steampowered.com/app/427520/Factorio?snr=1_7001_topselling__7003
1675200,5,https://store.steampowered.com/app/1675200/Steam_Deck?snr=1_7001_topselling__7003
645390,6,https://store.steampowered.com/app/645390/Factorio_Space_Age?snr=1_7001_topselling__7003
578080,7,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS?snr=1_7001_topselling__7003
3097560,8,https://store.steampowered.com/app/3097560/Liars_Bar?snr=1_7001_topselling__7003
1293830,9,https://store.steampowered.com/app/1293830/Forza_Horizon_4?snr=1_7001_topselling__7003
2669320,10,https://store.steampowered.com/app/2669320/EA_SPORTS_FC_25?snr=1_7001_topselling__7003
236390,11,https://store.steampowered.com/app/236390/War_Thunder?snr=1_7001_topselling__7003
2139460,12,https://store.steampowered.com/app/2139460/Once_Human?snr=1_7001_topselling__7003
570,13,https://store.steampowered.com/app/570/Dota_2?snr=1_7001_topselling__7003
1911610,14,https://store.steampowered.com/app/1911610/Windblown?snr=1_7001_topselling__7003
2246340,15,https://store.steampowered.com/app/2246340/Monster_Hunter_Wilds?snr=1_7001_topselling__7003
1845910,16,https://store.steampowered.com/app/1845910/Dragon_Age_The_Veilguard?snr=1_7001_topselling__7003
1174180,17,https://store.steampowered.com/app/1174180/Red_Dead_Redemption_2?snr=1_7001_topselling__7003
230410,18,https://store.steampowered.com/app/230410/Warframe?snr=1_7001_topselling__7003
381210,19,https://store.steampowered.com/app/381210/Dead_by_Daylight?snr=1_7001_topselling__7003
1938090,20,https://store.steampowered.com/app/1938090/Call_of_Duty?snr=1_7001_topselling__7003
3145250,21,https://store.steampowered.com/app/3145250/Call_of_Duty_Endowment_CODE_Endeavour_Tracer_Pack?snr=1_7001_topselling__7003
2183900,22,https://store.steampowered.com/app/2183900/Warhammer_40000_Space_Marine_2?snr=1_7001_topselling__7003
2878980,23,https://store.steampowered.com/app/2878980/NBA_2K25?snr=1_7001_topselling__7003
2358720,24,https://store.steampowered.com/app/2358720/Black_Myth_Wukong?snr=1_7001_topselling__7003
3070070,25,https://store.steampowered.com/app/3070070/TCG_Card_Shop_Simulator?snr=1_7001_topselling__7003
2455640,26,https://store.steampowered.com/app/2455640/Romancing_SaGa_2_Revenge_of_the_Seven?snr=1_7001_topselling__7003
2288150,27,https://store.steampowered.com/app/2288150/ROMANCE_OF_THE_THREE_KINGDOMS_8_REMAKE?snr=1_7001_topselling__7003
2513280,28,https://store.steampowered.com/app/2513280/SONIC_X_SHADOW_GENERATIONS?snr=1_7001_topselling__7003
1063730,29,https://store.steampowered.com/app/1063730/New_World_Aeternum?snr=1_7001_topselling__7003
227300,30,https://store.steampowered.com/app/227300/Euro_Truck_Simulator_2?snr=1_7001_topselling__7003
1086940,31,https://store.steampowered.com/app/1086940/Baldurs_Gate_3?snr=1_7001_topselling__7003
271590,32,https://store.steampowered.com/app/271590/Grand_Theft_Auto_V?snr=1_7001_topselling__7003
322330,33,https://store.steampowered.com/app/322330/Dont_Starve_Together?snr=1_7001_topselling__7003
2679460,34,https://store.steampowered.com/app/2679460/Metaphor_ReFantazio?snr=1_7001_topselling__7003
255710,35,https://store.steampowered.com/app/255710/Cities_Skylines?snr=1_7001_topselling__7003
1172470,36,https://store.steampowered.com/app/1172470/Apex_Legends?snr=1_7001_topselling__7003
1942280,37,https://store.steampowered.com/app/1942280/Brotato?snr=1_7001_topselling__7003
1868140,38,https://store.steampowered.com/app/1868140/DAVE_THE_DIVER?snr=1_7001_topselling__7003
2072450,39,https://store.steampowered.com/app/2072450/Like_a_Dragon_Infinite_Wealth?snr=1_7001_topselling__7003
2217000,40,https://store.steampowered.com/app/2217000/Rivals_of_Aether_II?snr=1_7001_topselling__7003
924970,41,https://store.steampowered.com/app/924970/Back_4_Blood?snr=1_7001_topselling__7003
252490,42,https://store.steampowered.com/app/252490/Rust?snr=1_7001_topselling__7003
690790,43,https://store.steampowered.com/app/690790/DiRT_Rally_20?snr=1_7001_topselling__7003
1203220,44,https://store.steampowered.com/app/1203220/NARAKA_BLADEPOINT?snr=1_7001_topselling__7003
356190,45,https://store.steampowered.com/app/356190/Middleearth_Shadow_of_War?snr=1_7001_topselling__7003
